Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0126930979005275,0.00191328701604972,0.138027242309266,0,0,0,1.02316767990512,0.00139586884914313,-1.1634425915606E-06,2.08900696909113E-08,0.00163816424060367,1.3906877128818E-07,0.00212627787861002,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/base_link.STL,,六自由度机械臂麦轮小车5.stp-1/__________1.stp-2/12V8V0001.stp.stp_3.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1.stp-2/0014.stp.stp_3.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-2/0014.stp.stp_3.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-2/12V8V0001.stp.stp_3.stp-1;六自由度机械臂麦轮小车5.stp-1/____________________1.stp-1;六自由度机械臂麦轮小车5.stp-1/_____1.stp-1/00.stp_1_5.stp-1;六自由度机械臂麦轮小车5.stp-1/_____1.stp-1/_-894800.stp_1_5.stp-1;六自由度机械臂麦轮小车5.stp-1/_____1.stp-1/_-2711600.stp_1_5.stp-1;六自由度机械臂麦轮小车5.stp-1/__________________________1.stp-1;六自由度机械臂麦轮小车5.stp-1/______________1.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-1/12V8V0001.stp.stp_3.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-1/0014.stp.stp_3.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1.stp-1/0014.stp.stp_3.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1.stp-1/12V8V0001.stp.stp_3.stp-1;六自由度机械臂麦轮小车5.stp-1/snano.stp-1;六自由度机械臂麦轮小车5.stp-1/M10 3D_______1.stp-1/CLEAR-SHELL_3.stp-1;六自由度机械臂麦轮小车5.stp-1/M10 3D_______1.stp-1/LOW-COST-BASE-2_3.stp-1;六自由度机械臂麦轮小车5.stp-1/M10 3D_______1.stp-1/M3-5 ________.stp-4;六自由度机械臂麦轮小车5.stp-1/M10 3D_______1.stp-1/M3-5 ________.stp-2;六自由度机械臂麦轮小车5.stp-1/M10 3D_______1.stp-1/M3-5 ________.stp-1;六自由度机械臂麦轮小车5.stp-1/M10 3D_______1.stp-1/M3-5 ________.stp-3;六自由度机械臂麦轮小车5.stp-1/16_1.stp-1/MSBR-8_9_1.stp-1;六自由度机械臂麦轮小车5.stp-1/_______1-4.stp-1;六自由度机械臂麦轮小车5.stp-1/_____85_1.stp-2;六自由度机械臂麦轮小车5.stp-1/____M3x11_1.stp-10;六自由度机械臂麦轮小车5.stp-1/____M3x11_1.stp-11;六自由度机械臂麦轮小车5.stp-1/____M3x11_1.stp-9;六自由度机械臂麦轮小车5.stp-1/_____85_1.stp-4;六自由度机械臂麦轮小车5.stp-1/_____85_1.stp-1;六自由度机械臂麦轮小车5.stp-1/____M3x11_1.stp-12;六自由度机械臂麦轮小车5.stp-1/_____85_1.stp-3;六自由度机械臂麦轮小车5.stp-1/16_1.stp-1/MSBR-7_9_1.stp-1;六自由度机械臂麦轮小车5.stp-1/16_1.stp-1/M3-18 _________9_1.stp-3;六自由度机械臂麦轮小车5.stp-1/M10___________1.stp-1;六自由度机械臂麦轮小车5.stp-1/16_1.stp-1/M3-18 _________9_1.stp-1;六自由度机械臂麦轮小车5.stp-1/16_1.stp-1/M3-18 _________9_1.stp-2;六自由度机械臂麦轮小车5.stp-1/16_1.stp-1/M3-18 _________9_1.stp-4;六自由度机械臂麦轮小车5.stp-1/M3-10________.stp-3;六自由度机械臂麦轮小车5.stp-1/M3-10________.stp-1;六自由度机械臂麦轮小车5.stp-1/M3-10________.stp-2;六自由度机械臂麦轮小车5.stp-1/_____________1.stp-1/_____4.stp-1;六自由度机械臂麦轮小车5.stp-1/____________________________1.stp-1;六自由度机械臂麦轮小车5.stp-1/_______2-3.stp-1;六自由度机械臂麦轮小车5.stp-1/_______2.stp-1;六自由度机械臂麦轮小车5.stp-1/_________1.stp-1;六自由度机械臂麦轮小车5.stp-1/____M3x11_1.stp-8;六自由度机械臂麦轮小车5.stp-1/____M3x11_1.stp-14;六自由度机械臂麦轮小车5.stp-1/____M3x11_1.stp-6;六自由度机械臂麦轮小车5.stp-1/____M3x11_1.stp-2;六自由度机械臂麦轮小车5.stp-1/____M3x11_1.stp-1;六自由度机械臂麦轮小车5.stp-1/____M3x11_1.stp-5;六自由度机械臂麦轮小车5.stp-1/____M3x11_1.stp-15;六自由度机械臂麦轮小车5.stp-1/____M3x11_1.stp-4;六自由度机械臂麦轮小车5.stp-1/____M3x11_1.stp-3;六自由度机械臂麦轮小车5.stp-1/____M3x11_1.stp-7;六自由度机械臂麦轮小车5.stp-1/____M3x11_1.stp-16;六自由度机械臂麦轮小车5.stp-1/____M3x11_1.stp-13;六自由度机械臂麦轮小车5.stp-1/_____________1.stp-1/8mm___4.stp-1;六自由度机械臂麦轮小车5.stp-1/_____________1.stp-1/8mm___4.stp-2;六自由度机械臂麦轮小车5.stp-1/_____________1.stp-1/____________2_1.stp-1/astra_pro_______________1_1_3_1.stp-1/C__C(ASTR.igs_2_4_1_3_1.stp-1;六自由度机械臂麦轮小车5.stp-1/_____________1.stp-1/____________2_1.stp-1/___________1_3_1.stp-1;六自由度机械臂麦轮小车5.stp-1/_____________1.stp-1/____________2_1.stp-1/astra_pro_______________1_1_3_1.stp-1/___I_C__AS.igs_2_4_1_3_1.stp-1;六自由度机械臂麦轮小车5.stp-1/_____________1.stp-1/____________2_1.stp-1/________1_1_1_3_1.stp-1;六自由度机械臂麦轮小车5.stp-1/_____________1.stp-1/____________2_1.stp-1/_______________1_3_1.stp-1;六自由度机械臂麦轮小车5.stp-1/_____________1.stp-1/____________2_1.stp-1/________1_1_1_3_1.stp-2;六自由度机械臂麦轮小车5.stp-1/_____________1.stp-1/____________2_1.stp-1/________1____1_1_3_1.stp-2;六自由度机械臂麦轮小车5.stp-1/_____________1.stp-1/____________2_1.stp-1/________1____1_1_3_1.stp-1;六自由度机械臂麦轮小车5.stp-1/_____________1.stp-1/____________2_1.stp-1/astra_pro_______________1_1_3_1.stp-1/__EI.igs_2_4_1_3_1.stp-1;六自由度机械臂麦轮小车5.stp-1/_____________1.stp-1/____________2_1.stp-1/astra_pro_______________1_1_3_1.stp-1/__EI.igs_2_4_1_3_1.stp-2;六自由度机械臂麦轮小车5.stp-1/16_1.stp-1/MSBR-1_9_1.stp-1;六自由度机械臂麦轮小车5.stp-1/16_1.stp-1/MSBR-5_9_1.stp-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_wheel_link,-3.0979511909876E-06,0.0173322020637727,4.43766253017258E-06,0,0,0,0.0503853041294886,5.77203859894131E-06,-6.39490308551869E-10,-6.55101507497994E-10,7.74120907350755E-06,1.14467480632514E-09,5.77288622221224E-06,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/left_front_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/left_front_wheel_link.STL,,六自由度机械臂麦轮小车5.stp-1/__________1.stp-2/PRT0011_1.stp.stp_2.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1.stp-2/00_1.stp.stp_2.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1.stp-2/PRT0007_1.stp.stp_2.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1.stp-2/000_1.stp.stp_2.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1.stp-2/75MM00_1.stp.stp_2.stp-7;六自由度机械臂麦轮小车5.stp-1/__________1.stp-2/75MM00_1.stp.stp_2.stp-5;六自由度机械臂麦轮小车5.stp-1/__________1.stp-2/75MM00_1.stp.stp_2.stp-9;六自由度机械臂麦轮小车5.stp-1/__________1.stp-2/75MM00_1.stp.stp_2.stp-2;六自由度机械臂麦轮小车5.stp-1/__________1.stp-2/75MM00_1.stp.stp_2.stp-10;六自由度机械臂麦轮小车5.stp-1/__________1.stp-2/75MM00_1.stp.stp_2.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1.stp-2/75MM00_1.stp.stp_2.stp-8;六自由度机械臂麦轮小车5.stp-1/__________1.stp-2/75MM00_1.stp.stp_2.stp-4;六自由度机械臂麦轮小车5.stp-1/__________1.stp-2/75MM00_1.stp.stp_2.stp-6;六自由度机械臂麦轮小车5.stp-1/__________1.stp-2/75MM00_1.stp.stp_2.stp-3,left_front_wheel_link,,left_front_wheel_joint,continuous,0.094976,0.076703,0.038001,0,0,0,base_link,0,1,0,,,,,,,,,,,,
left_rear_wheel_link,-3.06188346035907E-06,0.017331873242395,-5.84140984641324E-06,0,0,0,0.0503852022031433,5.7719914844331E-06,-6.47591418647473E-10,6.3996728285628E-10,7.74122667602425E-06,-1.13209672720901E-09,5.77285855433357E-06,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/left_rear_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/left_rear_wheel_link.STL,,六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-1/PRT0011_9_MIR_1.stp.stp_3.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-1/75MM00_7_MIR_1.stp.stp_3.stp-6;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-1/75MM00_7_MIR_1.stp.stp_3.stp-3;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-1/000_9_MIR_1.stp.stp_3.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-1/75MM00_7_MIR_1.stp.stp_3.stp-10;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-1/PRT0007_14_MIR_1.stp.stp_3.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-1/75MM00_7_MIR_1.stp.stp_3.stp-5;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-1/75MM00_7_MIR_1.stp.stp_3.stp-2;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-1/75MM00_7_MIR_1.stp.stp_3.stp-7;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-1/75MM00_7_MIR_1.stp.stp_3.stp-8;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-1/75MM00_7_MIR_1.stp.stp_3.stp-4;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-1/75MM00_7_MIR_1.stp.stp_3.stp-9;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-1/75MM00_7_MIR_1.stp.stp_3.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-1/00_5_MIR_1.stp.stp_3.stp-1,left_rear_wheel_link,,left_rear_wheel_joint,continuous,-0.078024,0.076703,0.038001,0,0,0,base_link,0,1,0,,,,,,,,,,,,
right_front_wheel_link,3.06240360546661E-06,-0.0173318735620233,-5.84117647387666E-06,0,0,0,0.0503852021760132,5.77199099297903E-06,-6.47832070333766E-10,-6.39570296767498E-10,7.74122684098967E-06,1.13229861557678E-09,5.7728593340892E-06,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/right_front_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/right_front_wheel_link.STL,,六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-2/PRT0011_9_MIR_1.stp.stp_3.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-2/75MM00_7_MIR_1.stp.stp_3.stp-3;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-2/000_9_MIR_1.stp.stp_3.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-2/75MM00_7_MIR_1.stp.stp_3.stp-10;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-2/75MM00_7_MIR_1.stp.stp_3.stp-5;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-2/PRT0007_14_MIR_1.stp.stp_3.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-2/75MM00_7_MIR_1.stp.stp_3.stp-6;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-2/75MM00_7_MIR_1.stp.stp_3.stp-2;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-2/75MM00_7_MIR_1.stp.stp_3.stp-7;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-2/75MM00_7_MIR_1.stp.stp_3.stp-8;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-2/75MM00_7_MIR_1.stp.stp_3.stp-4;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-2/75MM00_7_MIR_1.stp.stp_3.stp-9;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-2/75MM00_7_MIR_1.stp.stp_3.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1-1.stp-2/00_5_MIR_1.stp.stp_3.stp-1,right_front_wheel_link,,right_front_wheel_joint,continuous,0.094976,-0.075297,0.038001,0,0,0,base_link,0,1,0,,,,,,,,,,,,
right_rear_wheel_link,3.09795119093903E-06,-0.0173322020637727,4.43766253057504E-06,0,0,0,0.0503853041294886,5.77203859894127E-06,-6.39490308545873E-10,6.55101507484353E-10,7.7412090735075E-06,-1.14467480634659E-09,5.77288622221223E-06,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/right_rear_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/right_rear_wheel_link.STL,,六自由度机械臂麦轮小车5.stp-1/__________1.stp-1/PRT0011_1.stp.stp_2.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1.stp-1/000_1.stp.stp_2.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1.stp-1/75MM00_1.stp.stp_2.stp-7;六自由度机械臂麦轮小车5.stp-1/__________1.stp-1/00_1.stp.stp_2.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1.stp-1/PRT0007_1.stp.stp_2.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1.stp-1/75MM00_1.stp.stp_2.stp-9;六自由度机械臂麦轮小车5.stp-1/__________1.stp-1/75MM00_1.stp.stp_2.stp-5;六自由度机械臂麦轮小车5.stp-1/__________1.stp-1/75MM00_1.stp.stp_2.stp-3;六自由度机械臂麦轮小车5.stp-1/__________1.stp-1/75MM00_1.stp.stp_2.stp-6;六自由度机械臂麦轮小车5.stp-1/__________1.stp-1/75MM00_1.stp.stp_2.stp-4;六自由度机械臂麦轮小车5.stp-1/__________1.stp-1/75MM00_1.stp.stp_2.stp-8;六自由度机械臂麦轮小车5.stp-1/__________1.stp-1/75MM00_1.stp.stp_2.stp-1;六自由度机械臂麦轮小车5.stp-1/__________1.stp-1/75MM00_1.stp.stp_2.stp-10;六自由度机械臂麦轮小车5.stp-1/__________1.stp-1/75MM00_1.stp.stp_2.stp-2,right_rear_wheel_link,,right_rear_wheel_joint,continuous,-0.078024,-0.075297,0.038001,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link1,0.00667902683248248,-0.000617925084982596,0.0234455072147809,0,0,0,0.0586503298513903,1.45885437825898E-05,1.52166973047874E-07,-6.11635522611016E-11,1.53643210446061E-05,1.45081779343097E-07,2.71785457903366E-05,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/link1.STL,0.741176470588235,0.901960784313726,0.956862745098039,1,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/link1.STL,,六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/MSBR-4_9_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/MSBR-3_9_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/MSBR-2_9_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/MSBR-9_9_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/1_1_1.stp-1/MSBR-10_9_1_1.stp-1,link1,,joint1,revolute,0.054476,0.00070272,0.156,0,0,0,base_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
link2,-9.85322934354826E-16,-0.0187068878492825,0.0525000000000002,0,0,0,0.0182961255655768,1.62397575138106E-05,1.347414273068E-20,1.05563798552101E-19,7.56857037469834E-06,1.05493260809061E-20,1.05132687532735E-05,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/link2.STL,0.741176470588235,0.901960784313726,0.956862745098039,1,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/link2.STL,,六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/1_1_1.stp-1/MSBR-12_9_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/1_1_1.stp-1/MSBR-13_9_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/1_1_1.stp-1/MSBR-14_9_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/1_1_1.stp-1/MSBR-17_9_1_1.stp-1,link2,,joint2,revolute,0.0005,0.0227,0.0315,0,0,0,link1,0,-1,0,0,0,-1.57,1.57,,,,,,,,
link3,-0.00111507938513392,-0.0229699776837651,0.022150414355608,0,0,0,0.049761015025666,1.97699131875969E-05,1.45081779342829E-07,-1.29484660544253E-07,1.16329572702889E-05,1.52071961891174E-07,1.21511693273578E-05,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/link3.STL,0.741176470588235,0.901960784313726,0.956862745098039,1,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/link3.STL,,六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/2_1.stp-1/MSBR-16_7_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/2_1.stp-1/MSBR-15_7_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/MSBR-18_7_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/3_1.stp-1/MSBR-22_7_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/3_1.stp-1/MSBR-19_7_1_1.stp-1,link3,,joint3,revolute,0,0.001,0.105,0,0,0,link2,0,1,0,0,0,-1.57,1.57,,,,,,,,
link4,-0.0213103124095009,-0.0185844162741873,0.0110816058821624,0,0,0,0.0878001321766832,2.46599779245465E-05,1.45021327668014E-07,-2.90593993899019E-07,1.6070287359599E-05,3.04143941476546E-07,1.79892545898004E-05,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/link4.STL,0.741176470588235,0.901960784313726,0.956862745098039,1,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/link4.STL,,六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/3_1.stp-1/MSBR-21_6_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/3_1.stp-1/MSBR-20_6_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/RGB________________1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/4_1.stp-1/MSBR-23_6_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/RGB______________1.stp-1/RGB_________1.stp-1;六自由度机械臂麦轮小车5.stp-1/RGB______________1.stp-1/___________1.stp-1;六自由度机械臂麦轮小车5.stp-1/RGB______________1.stp-1/_______1.stp-1;六自由度机械臂麦轮小车5.stp-1/RGB______________1.stp-1/RGB_______1.stp-1;六自由度机械臂麦轮小车5.stp-1/RGB______________1.stp-1/RGB_________1-1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/4_1.stp-1/MSBR-24_6_1_1.stp-1,link4,,joint4,revolute,0.0010378,-0.0015,0.0975,0,0,0,link3,0,1,0,0,0,-0.8,1.57,,,,,,,,
link5,0.0170982452822612,-0.00181857593758557,0.0338763871147772,0,0,0,0.0430173483223723,8.16764387727323E-06,-1.64540582497823E-09,-9.56284780635361E-11,5.73687952145364E-06,-1.62969767998056E-08,1.08202419601291E-05,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/link5.STL,0.741176470588235,0.901960784313726,0.956862745098039,1,0,0,0,0,0,0,package://mini_mec_six_arm/meshes/link5.STL,,六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/4_1.stp-1/MSBR-25_10_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/4_1.stp-1/MSBR-45_10_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/____-M3-6_17_1_1.stp-5;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/____-M3-6_17_1_1.stp-4;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/____-M3-6_17_1_1.stp-6;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/____-M3-6_17_1_1.stp-3;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/____-M3-18_10_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/___________10_1_1.stp-4;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/___________10_1_1.stp-3;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/____-________M3_20_1_1.stp-5;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/3-7-3_____20_1_1.stp-3;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/____-____3-12-3_10_1_1.stp-3;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/____-________M3_20_1_1.stp-11;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/________-M3-15_10_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/3-7-3_____20_1_1.stp-5;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/____-_____10_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/________-M3-6_10_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/____-____3-12-3_10_1_1.stp-2;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/________-M3-6_10_1_1.stp-3;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/4_1.stp-1/MSBR-46_10_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/____-____3-12-3_10_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/____-M3-18_10_1_1.stp-2;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/____-________M3_20_1_1.stp-4;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/3-7-3_____20_1_1.stp-6;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/___________10_1_1.stp-2;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/___________10_1_1.stp-1;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/________-M3-6_10_1_1.stp-2;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/________-M3-6_10_1_1.stp-4;六自由度机械臂麦轮小车5.stp-1/6_________________1.stp-1/____-______-__1_20_1_1.stp-1/____996_10_1_1.stp-1,link5,,joint5,revolute,-0.027,-0.0222,0.0432,0,0,0,link4,0,0,-1,0,0,-1.57,1.57,,,,,,,,
